"","geneSymbol","cluster"
"796","Art5",1
"797","Artn",1
"798","Arvcf",2
"799","Arxes2",1
"800","As3mt",1
"801","Asah2",9
"802","Asap2",3
"803","Asap3",4
"804","Asb1",9
"805","Asb10",1
"806","Asb13",3
"807","Asb18",4
"808","Asb2",9
"809","Asb4",1
"810","Asb5",4
"811","Asb7",9
"812","Asb8",1
"813","Ascc1",3
"814","Ascl2",6
"815","Asf1a",7
"816","Ash1l",6
"817","Ash2l",3
"818","Asic1",2
"819","Asic2",3
"820","Asic3",8
"821","Asns",3
"822","Asnsd1",3
"823","Aspdh",9
"824","Aspg",3
"825","Asph",4
"826","Aspm",7
"827","Asrgl1",2
"828","Astn2",3
"829","Asun",3
"830","Asxl1",3
"831","Asxl3",3
"832","Atad2",7
"833","Atad3a",3
"834","Atad5",7
"835","Atcayos",1
"836","Ate1",9
"837","Atf1",3
"838","Atf2",3
"839","Atf3",2
"840","Atf4",8
"841","Atf5",3
"842","Atf6",1
"843","Atf6b",1
"844","Atf7ip",5
"845","Atf7ip2",3
"846","Atg10",4
"847","Atg101",4
"848","Atg12",9
"849","Atg16l1",1
"850","Atg2b",4
"851","Atg4d",1
"852","Atg5",3
"853","Atg9a",1
"854","Atg9b",6
"855","Athl1",7
"856","Atic",3
"857","Atl1",1
"858","Atl2",9
"859","Atm",3
"860","Atn1",3
"861","Atox1",1
"862","Atp11a",1
"863","Atp11c",3
"864","Atp13a1",3
"865","Atp1a1",1
"866","Atp1a2",1
"867","Atp1a3",4
"868","Atp1a4",4
"869","Atp1b1",1
"870","Atp1b2",1
"871","Atp2a1",4
"872","Atp2a2",1
"873","Atp2b4",6
"874","Atp2c1",1
"875","Atp5a1",1
"876","Atp5b",4
"877","Atp5c1",4
"878","Atp5d",1
"879","Atp5e",4
"880","Atp5f1",4
"881","Atp5g1",1
"882","Atp5g2",2
"883","Atp5g3",1
"884","Atp5h",1
"885","Atp5j",4
"886","Atp5j2",4
"887","Atp5k",4
"888","Atp5l",1
"889","Atp5o",1
"890","Atp6ap1",1
"891","Atp6v0a1",1
"892","Atp6v0b",1
"893","Atp6v0c",1
"894","Atp6v0d1",9
"895","Atp6v0e2",1
