"","geneSymbol","cluster"
"688","Arhgef16",2
"689","Arhgef18",5
"690","Arhgef19",6
"691","Arhgef25",8
"692","Arhgef26",5
"693","Arhgef28",6
"694","Arhgef3",1
"695","Arhgef37",1
"696","Arhgef39",7
"697","Arhgef4",4
"698","Arhgef6",4
"699","Arhgef7",1
"700","Arhgef9",2
"701","Arid1b",5
"702","Arid3b",8
"703","Arid3c",5
"704","Arid5b",4
"705","Arih2",6
"706","Arl1",4
"707","Arl10",5
"708","Arl13b",5
"709","Arl14ep",2
"710","Arl16",1
"711","Arl2",4
"712","Arl3",7
"713","Arl4a",7
"714","Arl4c",5
"715","Arl5a",4
"716","Arl5b",5
"717","Arl5c",4
"718","Arl6ip1",7
"719","Arl6ip5",4
"720","Arl6ip6",5
"721","Arl8b",7
"722","Armc1",4
"723","Armc10",5
"724","Armc8",7
"725","Armc9",3
"726","Armcx1",9
"727","Armcx3",1
"728","Armcx4",4
"729","Armcx6",1
"730","Arnt",6
"731","Arnt2",3
"732","Arntl",1
"733","Arpc1a",3
"734","Arpc2",1
"735","Arpc3",4
"736","Arpc5",1
"737","Arpin",6
"738","Arr3",1
"739","Arrb2",5
"740","Arrdc1",5
"741","Arrdc4",4
"742","Arsa",5
"743","Arsk",5
"744","Art1",4
"745","Art3",1
"746","Art4",4
"747","Art5",7
"748","Artn",4
"749","Arvcf",2
"750","Arxes2",4
"751","As3mt",4
"752","Asah2",7
"753","Asap2",5
"754","Asap3",4
"755","Asb1",7
"756","Asb10",1
"757","Asb13",5
"758","Asb18",4
"759","Asb2",7
"760","Asb5",4
"761","Asb8",1
"762","Ascl2",6
"763","Asf1a",3
"764","Ash1l",4
"765","Ash2l",3
"766","Asic1",6
"767","Asic2",5
"768","Asns",5
"769","Asnsd1",2
"770","Aspdh",7
"771","Aspg",5
"772","Asph",4
"773","Asrgl1",2
"774","Astn2",5
"775","Asun",8
"776","Asxl1",2
"777","Asxl3",5
"778","Atad2",3
"779","Atad3a",3
"780","Atad5",3
"781","Atat1",5
"782","Atcayos",1
"783","Ate1",7
"784","Atf1",5
"785","Atf2",5
"786","Atf3",9
"787","Atf4",8
"788","Atf5",5
"789","Atf6",1
"790","Atf6b",4
"791","Atf7ip2",3
"792","Atg10",4
"793","Atg101",4
"794","Atg12",7
"795","Atg16l1",4
"796","Atg2b",4
"797","Atg4d",1
"798","Atg5",3
"799","Atg9a",4
"800","Atg9b",6
"801","Atic",3
"802","Atl1",1
"803","Atl2",8
"804","Atl3",5
"805","Atm",5
"806","Atn1",5
"807","Atox1",4
"808","Atp11a",4
"809","Atp11c",5
"810","Atp13a1",3
"811","Atp1a1",1
"812","Atp1a2",4
"813","Atp1a3",4
"814","Atp1a4",4
"815","Atp1b1",1
"816","Atp1b2",1
"817","Atp2a1",4
"818","Atp2a2",1
"819","Atp2b4",6
"820","Atp2c1",1
"821","Atp5a1",4
"822","Atp5b",4
"823","Atp5c1",4
"824","Atp5d",4
"825","Atp5e",4
"826","Atp5f1",4
"827","Atp5g1",4
"828","Atp5g2",2
"829","Atp5g3",4
"830","Atp5h",4
"831","Atp5j",4
"832","Atp5j2",4
"833","Atp5k",4
"834","Atp5l",4
"835","Atp5o",4
"836","Atp6ap1",7
"837","Atp6v0a1",7
"838","Atp6v0b",7
"839","Atp6v0c",7
"840","Atp6v0d1",7
"841","Atp6v0e2",1
"842","Atp6v1a",7
"843","Atp6v1b2",8
"844","Atp6v1c1",1
"845","Atp6v1d",7
"846","Atp6v1e1",1
"847","Atp6v1f",7
"848","Atp6v1h",3
"849","Atp7b",4
"850","Atp8a1",1
"851","Atp8a2",1
"852","Atp8b2",7
"853","Atp8b4",4
"854","Atp9a",4
"855","Atpaf1",4
"856","Atr",2
"857","Atraid",4
"858","Atrip",5
"859","Atxn1",1
"860","Atxn1l",5
"861","Atxn2",1
"862","Atxn2l",5
"863","Atxn3",5
"864","Atxn7",2
"865","Atxn7l2",6
"866","Atxn7l3",3
"867","AU021092",7
"868","AU022252",4
"869","Auh",4
"870","Aunip",3
"871","Aurkaip1",7
"872","Auts2",5
"873","Aven",3
"874","Avl9",5
"875","Avpi1",1
"876","AW011738",8
"877","AW554918",5
"878","Axin1",5
"879","Axin2",5
"880","Axl",9
"881","Azi2",4
"882","Azin1",1
"883","Azin2",2
"884","B230118H07Rik",4
"885","B2m",1
"886","B3galnt2",5
"887","B3galt4",1
"888","B3gat1",5
"889","B3gnt4",3
"890","B3gnt5",5
"891","B3gnt7",5
"892","B4galnt2",5
"893","B4galnt3",5
"894","B4galnt4",5
"895","B4galt1",1
"896","B4galt4",1
"897","B4galt6",5
"898","B4gat1",4
"899","B630005N14Rik",1
"900","Baalc",4
"901","Bace2",2
"902","Bach1",5
"903","Bad",4
"904","Bag2",1
"905","Bag3",4
"906","Bag4",3
"907","Bag6",1
"908","Bahcc1",5
"909","Baiap2",3
"910","Baiap2l2",7
"911","Baiap3",7
"912","Bambi",1
"913","Bap1",5
"914","Bard1",3
"915","Barx2",7
"916","Basp1",5
"917","Bax",5
"918","Baz1a",5
"919","Baz1b",5
"920","Bbc3",2
"921","Bbs1",7
"922","Bbs12",5
"923","Bbs4",3
"924","Bbs5",9
"925","Bbs9",7
"926","BC002163",4
"927","BC003331",4
"928","BC004004",4
"929","BC005624",5
"930","BC017158",8
"931","BC021767",5
"932","BC023829",2
"933","BC025920",6
"934","BC026585",4
"935","BC027231",3
"936","BC028528",1
"937","BC037032",1
"938","BC037034",8
"939","BC048403",5
"940","BC055324",3
"941","BC065397",5
"942","BC068281",4
"943","BC089491",5
"944","Bcam",6
"945","Bcap29",6
"946","Bcar1",9
"947","Bcas2",5
"948","Bcat1",3
"949","Bccip",2
"950","Bche",4
"951","Bcl10",8
"952","Bcl11a",4
"953","Bcl11b",4
"954","Bcl2",4
"955","Bcl2l1",5
"956","Bcl2l11",2
"957","Bcl2l2",2
"958","Bcl3",6
"959","Bcl6",4
"960","Bcl7c",3
"961","Bcl9l",4
"962","Bco2",5
"963","Bcs1l",4
"964","Bdh1",4
"965","Bdkrb2",4
"966","Bdnf",9
"967","Bdp1",5
"968","Bean1",8
"969","Becn1",7
"970","Begain",8
"971","Bend3",3
"972","Bend5",6
"973","Bend6",4
"974","Bet1",1
"975","Bex2",3
"976","Bex4",7
"977","Bfar",4
"978","Bgn",6
"979","Bhlha15",1
"980","Bhlhb9",4
"981","Bhlhe22",5
"982","Bhlhe40",6
"983","Bhlhe41",6
"984","Bicd2",1
"985","Bid",3
"986","Bik",7
"987","Bin3",3
"988","Birc3",4
"989","Bivm",9
"990","Blcap",8
"991","Bloc1s1",1
"992","Bloc1s2",3
"993","Bloc1s5",1
"994","Blvra",4
"995","Blvrb",1
"996","Blzf1",7
"997","Bmf",4
"998","Bmi1",5
"999","Bmp10",1
"1000","Bmp2",3
"1001","Bmp2k",9
"1002","Bmp7",7
"1003","Bmper",8
"1004","Bmpr1a",4
"1005","Bmpr2",4
"1006","Bms1",5
"1007","Bmx",4
"1008","Bmyc",8
"1009","Bnip1",4
"1010","Bnip2",9
"1011","Bnip3",4
"1012","Bnip3l",4
"1013","Bnipl",5
"1014","Bod1",4
"1015","Bod1l",5
"1016","Bok",7
"1017","Bola2",3
"1018","Bola3",4
"1019","Bop1",3
"1020","Bpgm",1
"1021","Bphl",4
"1022","Bptf",5
"1023","Braf",2
"1024","Brap",1
"1025","Brca2",3
"1026","Brd1",5
"1027","Brd2",5
"1028","Brd3",5
"1029","Brd4",5
"1030","Brd8",3
"1031","Brdt",4
"1032","Brf1",5
"1033","Brix1",3
"1034","Brk1",1
"1035","Brms1",3
"1036","Brms1l",1
"1037","Brox",7
"1038","Brpf1",5
"1039","Brpf3",5
"1040","Bsg",4
"1041","Btaf1",5
"1042","Btbd1",1
"1043","Btbd10",8
"1044","Btbd11",5
"1045","Btbd19",5
"1046","Btbd3",2
"1047","Btc",2
"1048","Btd",4
"1049","Btf3",5
"1050","Btg2",9
"1051","Btg3",9
"1052","Btrc",7
"1053","Bud13",3
"1054","Bves",7
"1055","Bzrap1",3
"1056","Bzw1",3
